file	stat	value
Sak_2011_05_24_120m_454_Contigs_500.fasta	N	30217
Sak_2011_05_24_120m_454_Contigs_500.fasta	N_Trimmed	30217
Sak_2011_05_24_120m_454_Contigs_500.fasta	Sum_l	24971863
Sak_2011_05_24_120m_454_Contigs_500.fasta	Min_l	501
Sak_2011_05_24_120m_454_Contigs_500.fasta	Max_l	21944
Sak_2011_05_24_120m_454_Contigs_500.fasta	Med_l	680
Sak_2011_05_24_120m_454_Contigs_500.fasta	Mean_l	826
Sak_2011_05_24_120m_454_Contigs_500.fasta	N5	3719
Sak_2011_05_24_120m_454_Contigs_500.fasta	N10	2439
Sak_2011_05_24_120m_454_Contigs_500.fasta	N15	1796
Sak_2011_05_24_120m_454_Contigs_500.fasta	N20	1393
Sak_2011_05_24_120m_454_Contigs_500.fasta	N25	1164
Sak_2011_05_24_120m_454_Contigs_500.fasta	N30	1023
Sak_2011_05_24_120m_454_Contigs_500.fasta	N35	933
Sak_2011_05_24_120m_454_Contigs_500.fasta	N40	879
Sak_2011_05_24_120m_454_Contigs_500.fasta	N45	832
Sak_2011_05_24_120m_454_Contigs_500.fasta	N50	791
Sak_2011_05_24_120m_454_Contigs_500.fasta	N55	753
Sak_2011_05_24_120m_454_Contigs_500.fasta	N60	719
Sak_2011_05_24_120m_454_Contigs_500.fasta	N65	683
Sak_2011_05_24_120m_454_Contigs_500.fasta	N70	649
Sak_2011_05_24_120m_454_Contigs_500.fasta	N75	617
Sak_2011_05_24_120m_454_Contigs_500.fasta	N80	584
Sak_2011_05_24_120m_454_Contigs_500.fasta	N85	555
Sak_2011_05_24_120m_454_Contigs_500.fasta	N90	533
Sak_2011_05_24_120m_454_Contigs_500.fasta	N95	515
Sak_2011_05_24_120m_QC_nesoni_qual20_len30.fna.trim	N	3909
Sak_2011_05_24_120m_QC_nesoni_qual20_len30.fna.trim	N_Trimmed	3909
Sak_2011_05_24_120m_QC_nesoni_qual20_len30.fna.trim	Sum_l	2546522
Sak_2011_05_24_120m_QC_nesoni_qual20_len30.fna.trim	Min_l	501
Sak_2011_05_24_120m_QC_nesoni_qual20_len30.fna.trim	Max_l	3053
Sak_2011_05_24_120m_QC_nesoni_qual20_len30.fna.trim	Med_l	588
Sak_2011_05_24_120m_QC_nesoni_qual20_len30.fna.trim	Mean_l	651
Sak_2011_05_24_120m_QC_nesoni_qual20_len30.fna.trim	N5	1371
Sak_2011_05_24_120m_QC_nesoni_qual20_len30.fna.trim	N10	1083
Sak_2011_05_24_120m_QC_nesoni_qual20_len30.fna.trim	N15	902
Sak_2011_05_24_120m_QC_nesoni_qual20_len30.fna.trim	N20	795
Sak_2011_05_24_120m_QC_nesoni_qual20_len30.fna.trim	N25	736
Sak_2011_05_24_120m_QC_nesoni_qual20_len30.fna.trim	N30	698
Sak_2011_05_24_120m_QC_nesoni_qual20_len30.fna.trim	N35	667
Sak_2011_05_24_120m_QC_nesoni_qual20_len30.fna.trim	N40	645
Sak_2011_05_24_120m_QC_nesoni_qual20_len30.fna.trim	N45	629
Sak_2011_05_24_120m_QC_nesoni_qual20_len30.fna.trim	N50	612
Sak_2011_05_24_120m_QC_nesoni_qual20_len30.fna.trim	N55	597
Sak_2011_05_24_120m_QC_nesoni_qual20_len30.fna.trim	N60	584
Sak_2011_05_24_120m_QC_nesoni_qual20_len30.fna.trim	N65	573
Sak_2011_05_24_120m_QC_nesoni_qual20_len30.fna.trim	N70	561
Sak_2011_05_24_120m_QC_nesoni_qual20_len30.fna.trim	N75	550
Sak_2011_05_24_120m_QC_nesoni_qual20_len30.fna.trim	N80	539
Sak_2011_05_24_120m_QC_nesoni_qual20_len30.fna.trim	N85	529
Sak_2011_05_24_120m_QC_nesoni_qual20_len30.fna.trim	N90	518
Sak_2011_05_24_120m_QC_nesoni_qual20_len30.fna.trim	N95	509
