PhylumF_Adjusted,PhylumT_Adjusted
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
jAcidobacteria,jAcidobacteria
