FGYA1000.b1	FGYA-2.CPR_O10
FGYA1000.g1	FGYA-2.CPF_O10
FGYA1001.b1	FGYA-2.CPR_A12
FGYA1001.g1	FGYA-2.CPF_A12
FGYA1002.b1	FGYA-2.CPR_C12
FGYA1002.g1	FGYA-2.CPF_C12
FGYA1003.b1	FGYA-2.CPR_E12
FGYA1004.b1	FGYA-2.CPR_G12
FGYA1004.g1	FGYA-2.CPF_G12
FGYA1005.b1	FGYA-2.CPR_I12
FGYA1005.g1	FGYA-2.CPF_I12
FGYA1006.b1	FGYA-2.CPR_K12
FGYA1006.g1	FGYA-2.CPF_K12
FGYA1007.b1	FGYA-2.CPR_M12
FGYA1007.g1	FGYA-2.CPF_M12
FGYA1008.b1	FGYA-2.CPR_O12
FGYA1008.g1	FGYA-2.CPF_O12
FGYA1009.b1	FGYA-2.CPR_A14
FGYA1009.g1	FGYA-2.CPF_A14
FGYA1010.b1	FGYA-2.CPR_C14
FGYA1010.g1	FGYA-2.CPF_C14
FGYA1011.g1	FGYA-2.CPF_E14
FGYA1012.b1	FGYA-2.CPR_G14
FGYA1012.g1	FGYA-2.CPF_G14
FGYA1013.b1	FGYA-2.CPR_I14
FGYA1014.b1	FGYA-2.CPR_K14
FGYA1014.g1	FGYA-2.CPF_K14
FGYA1015.b1	FGYA-2.CPR_M14
FGYA1015.g1	FGYA-2.CPF_M14
FGYA1016.b1	FGYA-2.CPR_O14
FGYA1016.g1	FGYA-2.CPF_O14
FGYA1017.b1	FGYA-2.CPR_A16
FGYA1017.g1	FGYA-2.CPF_A16
FGYA1018.b1	FGYA-2.CPR_C16
FGYA1018.g1	FGYA-2.CPF_C16
FGYA1020.b1	FGYA-2.CPR_G16
FGYA1020.g1	FGYA-2.CPF_G16
FGYA1021.b1	FGYA-2.CPR_I16
FGYA1021.g1	FGYA-2.CPF_I16
FGYA1022.b1	FGYA-2.CPR_K16
FGYA1022.g1	FGYA-2.CPF_K16
FGYA1023.b1	FGYA-2.CPR_M16
FGYA1023.g1	FGYA-2.CPF_M16
FGYA1024.b1	FGYA-2.CPR_O16
FGYA1025.b1	FGYA-2.CPR_A18
FGYA1025.g1	FGYA-2.CPF_A18
FGYA1026.b1	FGYA-2.CPR_C18
FGYA1026.g1	FGYA-2.CPF_C18
FGYA1027.b1	FGYA-2.CPR_E18
FGYA1027.g1	FGYA-2.CPF_E18
FGYA1028.b1	FGYA-2.CPR_G18
FGYA1028.g1	FGYA-2.CPF_G18
FGYA1029.b1	FGYA-2.CPR_I18
FGYA1029.g1	FGYA-2.CPF_I18
FGYA1030.b1	FGYA-2.CPR_K18
FGYA1030.g1	FGYA-2.CPF_K18
FGYA1031.b1	FGYA-2.CPR_M18
FGYA1031.g1	FGYA-2.CPF_M18
FGYA1032.b1	FGYA-2.CPR_O18
FGYA1032.g1	FGYA-2.CPF_O18
FGYA1033.b1	FGYA-2.CPR_A20
FGYA1033.g1	FGYA-2.CPF_A20
FGYA1034.b1	FGYA-2.CPR_C20
FGYA1034.g1	FGYA-2.CPF_C20
